"longitude ","latitude ","activity ","accuracy ","altitude ","velocity ","activity_timestampMs ","activity_confidence ","heading ","verticalAccuracy ","timestampMs ","userID "
21.7504986,38.2676197,STILL,25,,,1420819624774,100,,,1420819691468,1
21.7503643,38.2676102,STILL,20,,,1420825914629,67,,,1420825887977,1
21.7503994,38.2676400,STILL,25,,,1420826654469,90,,,1420826636427,1
21.7861665,38.2853302,STILL,2247,,,1425979848125,54,,,1425979818493,1
21.7887272,38.2920299,STILL,1841,,,1425980008637,58,,,1425979999252,1
21.7904706,38.2950382,STILL,2859,,,1425980397593,57,,,1425980423141,1
21.7904706,38.2950382,STILL,2859,,,1425980547831,77,,,1425980544175,1
21.7904706,38.2950382,STILL,2859,,,1425980727008,100,,,1425980726119,1
21.7904706,38.2950382,STILL,2859,,,1425980798449,58,,,1425980786184,1
21.7904706,38.2950382,STILL,2859,,,1425980976644,58,,,1425980967194,1
21.7876752,38.2898647,STILL,2207,,,1425981108092,90,,,1425981087246,1
21.7904706,38.2950382,STILL,2859,,,1425981269152,77,,,1425981268303,1
21.7904706,38.2950382,STILL,2859,,,1425981451019,100,,,1425981450171,1
21.7904706,38.2950382,STILL,2859,,,1425981634077,100,,,1425981633213,1
21.7879602,38.2849090,STILL,2207,,,1425984665365,51,,,1425984687573,1
21.7875628,38.2849478,STILL,1841,,,1425985213780,36,,,1425985235556,1
21.7849757,38.2925428,STILL,1841,,,1425988163299,95,,,1425988142616,1
21.7849757,38.2925428,STILL,1841,,,1425988269056,85,,,1425988265544,1
21.7924400,38.2914942,STILL,3066,,,1425988783635,73,,,1425988753625,1
21.7755401,38.3124274,STILL,3445,,,1425988878262,62,,,1425988874780,1
21.7849757,38.2925428,STILL,1841,,,1425989000092,69,,,1425988996580,1
21.7849757,38.2925428,STILL,1841,,,1425989985648,85,,,1425989965028,1
21.7849757,38.2925428,STILL,1841,,,1425990149274,100,,,1425990145756,1
21.7893002,38.2863545,STILL,76,,,1425991137790,46,,,1425991181675,1
21.7892295,38.2862881,STILL,34,,,1425991711639,74,,,1425991693437,1
21.7892292,38.2862698,STILL,37,,,1425991876070,85,,,1425991872606,1
21.7892293,38.2862901,STILL,34,,,1425992057099,100,,,1425992056352,1
21.7892301,38.2862704,STILL,39,,,1425992238166,85,,,1425992237106,1
21.7892287,38.2862757,STILL,40,,,1425992681588,85,,,1425992675421,1
21.7892276,38.2863539,STILL,40,,,1425992860237,100,,,1425992856766,1
21.7892474,38.2862387,STILL,36,,,1425993237088,54,,,1425993236012,1
21.7892282,38.2863053,STILL,1646,,,1425993396822,41,,,1425993426478,1
21.7892278,38.2862677,STILL,2247,,,1425994351987,60,,,1425994313959,1
21.7503471,38.2675759,STILL,27,,,1425996426782,67,,,1425996405987,1
21.7364231,38.2443236,STILL,2283,,,1432314142891,54,,,1432314171884,1
21.7501463,38.2676231,STILL,27,,,1432318857968,75,,,1432318836680,1
21.7504478,38.2675545,STILL,28,,,1432319230468,69,,,1432319201889,1
21.7501762,38.2675915,STILL,24,,,1432319388029,92,,,1432319385886,1
21.7504760,38.2675515,STILL,26,,,1432319572025,85,,,1432319569936,1
21.7501878,38.2675914,STILL,26,,,1432319755954,85,,,1432319753678,1
21.7503275,38.2676110,STILL,46,,,1432320200964,67,,,1432320180773,1
21.7502308,38.2676158,STILL,30,,,1432321130964,54,,,1432321101740,1
21.7505452,38.2675376,STILL,45,,,1432322786738,58,,,1432322759086,1
21.7504020,38.2675904,STILL,27,,,1432322983949,45,,,1432323005123,1
21.7504666,38.2676092,STILL,36,,,1432323190483,100,,,1432323188577,1
21.7505580,38.2675444,STILL,34,,,1432323375126,54,,,1432323436879,1
21.7505151,38.2675296,STILL,29,,,1432323561951,85,,,1432323559868,1
21.7504962,38.2675033,STILL,40,,,1432323773965,66,,,1432323744906,1
21.7504780,38.2675006,STILL,39,,,1432323932103,62,,,1432323929942,1
21.7502120,38.2676390,STILL,30,,,1432324362103,46,,,1432324364406,1
21.7505107,38.2675441,STILL,53,,,1432324576024,82,,,1432324557011,1
21.7503317,38.2675902,STILL,46,,,1432324757962,100,,,1432324738134,1
21.7503605,38.2676255,STILL,43,,,1432324924374,100,,,1432324922250,1
21.7505197,38.2675538,STILL,54,,,1432325108084,100,,,1432325106020,1
21.7505335,38.2675425,STILL,30,,,1432325309055,87,,,1432325288844,1
21.7505294,38.2675436,STILL,30,,,1432325475044,85,,,1432325473827,1
21.7505351,38.2675645,STILL,34,,,1432325675958,85,,,1432325654747,1
21.7505523,38.2676261,STILL,31,,,1432325840957,100,,,1432325838863,1
21.7505293,38.2675343,STILL,35,,,1432326024968,92,,,1432326022962,1
21.7505351,38.2675250,STILL,36,,,1432326208964,92,,,1432326206963,1
21.7497282,38.2674505,STILL,1600,,,1459628582732,92,,,1459628459068,1
21.7497282,38.2674505,STILL,1600,,,1459628825351,69,,,1459628825378,1
21.7507188,38.2675539,STILL,43,,,1459629067227,100,,,1459629071748,1
21.7497282,38.2674505,STILL,1600,,,1459631747842,100,,,1459631828255,1
21.7507294,38.2675561,STILL,31,,,1459647705628,48,,,1459647798849,1
21.7507206,38.2675528,STILL,30,,,1459647891142,100,,,1459647919081,1
21.7507190,38.2675499,STILL,30,,,1459656077965,97,,,1459656081541,1
21.7507236,38.2675575,STILL,31,,,1459662975056,100,,,1459663038571,1
21.7507395,38.2675451,STILL,32,,,1459667706826,48,,,1459667694891,1
21.7507129,38.2675350,STILL,30,,,1459668201962,72,,,1459668204231,1
21.7507266,38.2675610,STILL,31,,,1459668684165,48,,,1459668686445,1
21.7506925,38.2675368,STILL,42,,,1459669163666,92,,,1459668841838,1
21.7372427,38.2457884,STILL,41,,,1474970059756,100,,,1474970211514,1
21.7372522,38.2457969,STILL,42,,,1474970963869,100,,,1474970963948,1
21.7357245,38.2481590,STILL,9,,,1474974807840,83,,,1474974798000,1
21.7357731,38.2482313,STILL,24,,,1474974963055,81,,,1474974870356,1
21.7357210,38.2481512,STILL,16,,,1474975568352,81,,,1474975492000,1
21.7357130,38.2481412,STILL,17,,,1474975954387,97,,,1474975914517,1
21.7356589,38.2481989,STILL,12,,,1474976074493,52,,,1474976035990,1
21.7357282,38.2481781,STILL,14,,,1474976320216,50,,,1474976357397,1
21.7356203,38.2481724,STILL,7,,,1474976582131,73,,,1474976579394,1
21.7358879,38.2483640,STILL,25,,,1474976764083,92,,,1474976819400,1
21.7358498,38.2481989,STILL,20,,,1474976974079,92,,,1474976973235,1
21.7356119,38.2480868,STILL,9,,,1474977127919,54,,,1474977123399,1
21.7356603,38.2481961,STILL,12,,,1474977278182,62,,,1474977282388,1
21.7356603,38.2481961,STILL,12,,,1474977476531,100,,,1474977511375,1
21.7357297,38.2481675,STILL,7,,,1474977675359,100,,,1474977689402,1
21.7356974,38.2481405,STILL,19,,,1474977887396,40,,,1474977946394,1
21.7357538,38.2477824,STILL,21,,,1474978051609,44,,,1474978069000,1
21.7357804,38.2477977,STILL,99,,,1474978291727,92,,,1474978188000,1
